gen300_1st,gen300_10th,gen100_1st
257,226,193  
76,335,107  
128,48,217
225,197,185
57,48,74
158,128,217
191,48,245
48,80,230
199,68,267
167,213,108
58,199,224
199,48,263
204,48,331
191,83,219
213,117,143
60,362,209
414,212,294
263,48,136
48,128,132
48,152,126
237,515,187
143,67,203
48,88,185
48,56,369
59,207,223
48,48,211
99,67,233
56,155,239
92,403,194
91,110,174
259,213,243
48,388,328
292,305,222
148,84,138
57,81,284
48,208,257
61,220,293
57,240,355
181,290,283
48,367,308
327,89,144
48,189,295
99,194,270
355,48,211
123,48,367
84,324,184
331,48,290
66,214,284
237,237,125
101,270,249